Table,Year,DayofYear,Firstdayofyear,MonthDayYear,Time,TIME,DATETIME,windspeed,winddirection,windspeed_max,temp_avg,shortwavesr,longwavesr,,battery_volts,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,100,1:00 AM,10/31/2009 1:00,7.41,35.89,21.35,31.85,82.7,33.46,-6999,13.8,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,200,2:00 AM,10/31/2009 2:00,3.65,171,10.96,30.71,85.3,587.1,-6999,13.83,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,300,3:00 AM,10/31/2009 3:00,7.12,174.1,20.21,30.64,75.9,0,-6999,13.85,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,400,4:00 AM,10/31/2009 4:00,8.34,98.7,20.08,31.44,75.6,259.7,-6999,13.84,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,500,5:00 AM,10/31/2009 5:00,8.98,58.63,23.5,31.83,70.5,151.9,-6999,13.84,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,600,6:00 AM,10/31/2009 6:00,7.05,57.6,18.59,31.64,74.3,16.89,-6999,13.83,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,700,7:00 AM,10/31/2009 7:00,7.02,69.4,25.69,33.15,64.08,517.3,-6999,13.83,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,800,8:00 AM,10/31/2009 8:00,10.47,108.6,32.09,34.56,70.5,13.9,-6999,13.8,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,900,9:00 AM,10/31/2009 9:00,6.669,181,24.99,35,69.5,0,-6999,13.78,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,1000,10:00 AM,10/31/2009 10:00,5.917,304.4,22.31,34.93,75.1,0,-6999,13.76,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,1100,11:00 AM,10/31/2009 11:00,5.833,170.1,29.29,34.42,75.4,0,-6999,13.76,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,1200,12:00 PM,10/31/2009 12:00,5.503,68.23,15.74,34.82,79.9,0,-6999,13.75,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,1300,1:00 PM,10/31/2009 13:00,10.73,157.1,32.05,35.43,74,31.04,-6999,13.74,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,1400,2:00 PM,10/31/2009 14:00,10.27,66.53,23.94,36.64,69.16,107,-6999,13.73,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,1500,3:00 PM,10/31/2009 15:00,11.49,288,36.69,36.85,72.2,170.3,-6999,13.7,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,1600,4:00 PM,10/31/2009 16:00,9.09,5.121,26.44,36.27,74.9,301.4,-6999,13.7,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,1700,5:00 PM,10/31/2009 17:00,9.05,297.4,31.78,35.39,79.5,58.48,-6999,13.73,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,1800,6:00 PM,10/31/2009 18:00,8.94,330.8,27.36,34.74,76.7,0,-6999,13.75,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,1900,7:00 PM,10/31/2009 19:00,8.3,336.7,28.67,34.51,72.7,0,-6999,13.76,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,2000,8:00 PM,10/31/2009 20:00,9.08,2.149,35.73,35.62,68.1,729,-6999,13.79,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,2100,9:00 PM,10/31/2009 21:00,9.92,326.1,25.69,35.11,66.1,0,-6999,13.79,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,2200,10:00 PM,10/31/2009 22:00,14.95,297.1,34.06,34.58,67.23,0,-6999,13.8,,,,,,,,,
60,2009,304,1/1/2009,10/31/2009,2300,11:00 PM,10/31/2009 23:00,7.09,297.7,30.69,33.89,64.47,0,-6999,13.8,,,,,,,,,
